"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"Necromancy_MardrachtsJournal_Content01","Nightmares again. The battle, the Rift - Kaseinax with the Crown, bathed in power. "
"Necromancy_MardrachtsJournal_Content02","The humans. The gods - the gods! What are they? Why so powerful? Why couldn't we stop them? Why did they come?"
"Necromancy_MardrachtsJournal_Content03","Why haven't they come for me? They will, I know it. All of us who were there: they'll hunt us, kill us - maybe worse. I will be ready. I am ready. This old worm has a few tricks yet - oh, yes. We were as powerful as gods ourselves, once. The elves have forgotten, but once they knew. Yes, they did."
"Necromancy_MardrachtsJournal_Content04","Why don't they come? Have these alien gods been destroyed already? Is it safe outside? Or is that what they want me to think? They won't lure me out - oh, no. Never."
"BeltOfGiantHillStrength_Title","Belt of Giant Strength (Hill)"
"BeltOfGiantHillStrength_Unidentified_Title","Magnificent Belt"
"BeltOfGiantHillStrength_Unidentified_Description","A heavy and highly decorated belt, probably magical."
"AmuletOfHealth_Unidentified_Title","Amulet"
"AmuletOfHealth_Unidentified_Description","A nice-looking, gem-encrusted amulet."
"AmuletOfHealth_Title","Amulet of Health"
"AmuletOfHealth_Description","Your constitution score is 19 while you wear this amulet. It has no effect on you if your constitution score is already 19 or higher."
"BeltOfDwarvenkind_Unidentified_Title","Large Belt"
"BeltOfDwarvenkind_Unidentified_Description","A heavy and sturdy belt with dwarvish decorations."
"BeltOfDwarvenkind_Title","Belt of Dwarvenkind"
"Necromancy_Thesis_Title","On the New Magic of Humans and Their Gods"
"Necromancy_Thesis_Description","An ancient-looking book, with the eight rings of the Arcaneum embossed into the cover. "
"Necromancy_Thesis_Content01","On the New Magic of Humans and Their Gods, and Its Particular Implications for Necromancy. By Alithariel Threanin, Postulant Junior Master of the Arcaneum, School of Necromancy. Academic Session of 3044, Imperial Calendar"
"Necromancy_Thesis_Content02","As my thesis in support of my candidacy for the rank of Junior Master of the Arcaneum at the School of Necromancy, I respectfully submit the results of my research into the nature and types of new magics brought to Solasta by the humans of Tirmar, in particular the effectiveness of those whom they call ""clerics"" in repelling and destroying undead creatures. This knowledge is of urgent importance as we struggle to understand these humans, and assess both the severity of the threat they may post to the Empire and the potential benefit they could bring to it once conquered."
"Necromancy_Thesis_Content03","It is widely known that the magic of humans derives from the entities they call ""gods"" (""goddesses"" in the feminine, and ""deities"" collectively). I call it ""divine magic"" in this thesis, to distinguish it from our own arcane magic that is the result of magical study. Just as arcane magic is organized into schools, some divine magic is comprised of eight areas of study, which the humans call ""domains."" Each deity typically provides its clerics with access to two domains, representing its particular interests. The domain that corresponds most closely to the School of Necromancy is called the Domain of Oblivion."
"Necromancy_Thesis_Content04","In addition to spells from two domains, a cleric has access to a wide array of other spells and powers, which are common to all regardless of their patron deity. Many are broadly similar in their effects to the spells of the School of Necromancy. There are two necromantic powers, though, that are completely new and unique: a cleric of any Tirmarian deity, if their rank is high enough, can repel undead creatures and even destroy them. The humans I have questioned believe that this is because their deities regard all undead creatures as ""unnatural"" - a word that reveals much about their primitive level of sophistication - and therefore undesirable, but they seem to know nothing about the means by which this result is achieved, speaking only about the ""will"" or ""power"" of their deities."
"Necromancy_Thesis_Content05","The following pages examine the phenomenon of ""turning"" and destroying undead using both the classical thaumatological approach of Fathirien and her successors, and the more modern methods championed by Gorlindrien and the Practicalists. All conclusions are tentative. If this thesis is accepted, I propose to make this phenomenon my primary research topic."
"Necromancy_Fallen_Title","Torn Page"
"Necromancy_Fallen_Description","A page apparently torn from a book, crumpled and thrown on the floor."
"Necromancy_Fallen_Content01","…as the Soraks followed humanity, a high priest of Oblivion succumbed to despair and madness. He tainted the peace of the grave with the uncleanliness of undeath, raising the fallen to muster an army. As he knew this was not a prayer that would gain the favor of Maraike, the lady of life and death, he and his followers couched their plan in the form of a curse instead, tricking their goddess into ensuring that their plan would succeed. Maraike granted their plea, but was not deceived. She cursed the conspirators as well, for they had been corrupted by evil and were denied her grace. They became the fallen, and those they raised from death became sorrow zombies, named after the curse of sorrow that they had wrought."
"Necromancy_Fallen_Content02","Maraike's punishment ensured that none of the fallen could enjoy the touch of light without suffering and dying. They must forever skulk in the shadows until they repented. But Maraike's punishment was not all. Sorr-Tarr, the vile god of the Soraks, saw potential in the fallen. Without undoing Maraike's curse, he gave them powers to do evil: to corrupt others by their touch, and to create fouler servants than zombies. Of the original fallen not much is known, save that there were twelve of them, priests and paladins…"
"Necromancy_Refugees_Title","Torn Page"
"Necromancy_Refugees_Description","A page apparently torn from a book, crumpled and thrown on the floor."
"Necromancy_Refugees_Content01","…the humans explained that they had fled to Solasta from their home, a world they called Tirmar, and that they were pursued by a race they called Sorr-Akkath or Soraks, which had spread across this world of Tirmar, and threatened to conquer all others."
"Necromancy_Refugees_Content02","The Governor received them with the appearance of kindness, reasoning that if they came as supplicant fugitives it would be an easy task to subdue them, and either set them to work as slaves alongside the inferior races of Solasta or bind them over to the wizards of the Arcaneum for dissection or whatever other form of study might prove most fruitful. When the guards sought to bind the humans, though, they called upon beings they called ""gods,"" and manifested powerful magics that took their hosts by surprise. Thus they were able to escape."
"Necromancy_Gods_Title","Torn Page"
"Necromancy_Gods_Description","A page apparently torn from a book, crumpled and thrown on the floor."
"Necromancy_Gods_Content01","…deities of Tirmar are a source of a new and unknown kind of magic. The humans believe they are powerful entities, perhaps extraplanar in nature, whom they worship and whose commands they follow, receiving power in return."
"Necromancy_Gods_Content02","The humans are careful to distinguish between ""good"" and ""evil"" deities. ""Good"" deities are those whom the humans see as helpful to them, and - in their theology at least - concerned with their welfare. ""Evil"" deities are those who are hostile to humans and support the efforts of other races to conquer them. It was an ""evil"" deity and his followers - one Sorr-Tarr and the race of the Sorr-Akkath, or Soraks - who drove the humans to try to escape their home world of Tirmar, they say. Their arrival on Solasta…"
"Abjuration_Dragons_Title","The Time of the Dragons"
"Abjuration_Dragons_Description","An old book with the image of a dragon embossed on the cover."
"Abjuration_Dragons_Content01","There was a time, very long ago, when dragons were the rulers of Solasta. They lived in the mountains, close to volcanoes which they loved for their heat - for nothing else was hot enough to incubate a dragon's egg. At that time the dwarves had not yet come up from below ground, being more rock than flesh, and the halflings remained in their swamps, far from anyone. And what of the elves? The elves were in and of the air, without physical form but existing as swirling currents of air and mana, one with magic and with the world."
"Abjuration_Dragons_Content02","Eventually, however, the elves tired of a life of pure spirit and wind. They took a physical form and began to build great spires and palaces, bringing the beauty of their thoughts into material being. The dragons feared them, and a great war ensued, pitting fire and magic against air and magic until the elves…"
"Abjuration_Housekeeping_Title","The Good Management of Servants"
"Abjuration_Housekeeping_Description","An old book that seems to have been well-thumbed."
"Abjuration_Housekeeping_Content01","The supreme duty of the head of a household is the management of servants. This is more important even than the welfare of the family, because a household can survive internal strife and injustice, but it cannot survive a breakdown in discipline. Heed well the lessons of history, and keep thoughts of revolt from the minds of your slaves."
"Abjuration_Housekeeping_Content02","Remember that no matter how intelligent and endearing they may seem, your non-elf slaves are animals, nothing more. Do not indulge them, but give them every day a new reason to fear your wrath and a fresh reminder that your power is absolute. It is not going too far, if you can afford it, to select one at random now and again for death by torture. As well as providing entertainment for your guests and an example for your children, this practice instils a healthy…"
"Abjuration_Plaque_Title","Memorial Plaque"
"Abjuration_Plaque_Description","A brass plaque on a wall."
"Abjuration_Plaque_Content01","In memory of Hathirin Lithinel and the other members of the House of Lithinel, blasphemously and treacherously murdered, and their house burned by rebellious slaves in the year 2435. This plaque was cast from brass melted in a furnace fueled by the bodies of their faithless slaves, both living and dead."
"Abjuration_DragonsWar_Title","The Great War against the Dragons"
"Abjuration_DragonsWar_Description","An ancient book."
"Abjuration_DragonsWar_Content01","The dragons saw how the elves were changing the world, bringing beauty to blasted volcanic wastes, and living green to barren fields of rock. They had never seen beauty before, nor heard music; their language was devoid of poetry, and their magic was brutal and without wonder."
"Abjuration_DragonsWar_Content02","The dragons fell in love with the elves, as all do who see them. They longed to possess them, for dragons are avaricious by nature. With sweet words and trickery they enslaved a few of the fair people, but most elves were not taken in by the dragons' flattery, and prepared to resist them."
"Abjuration_DragonsWar_Content03","Great battles were fought, blade against flame, and magic against magic. Mountains were leveled, and land sank to make the Inner Sea. The tunnels where the dwarves hid in fear were flooded. It was in that bloody crucible that our people's mastery of magic was forged, and the elven race united under the first Emperor Ilmathir Ellanion."
"Abjuration_DragonsWar_Content04","The war against the dragons lasted for three generations before the Warrior Empress Cythaeriel Ellanion, the Lady of the Bright Blade, led the elves to…"
"Evocation_Plaque1_Title","Stone Inscription"
"Evocation_Plaque1_Description","An inscribed stone plaque."
"Evocation_Plaque1_Content01","In memory of the Emperor Laethar Aerlinn, first of his name, who reigned from the year 1773 until 2117 and oversaw the glorious expansion of the Empire, subjugating the rebel elves of the forests, the dwarves of the western mountains, and the halflings. Hero of the Forest of Flames, where he slew more than a hundred rebels with his own hand. Treacherously slain by rebel arrows during the advance on Colthannin. And to his Queen Saefinala and his son Prince Kealin, both treacherously murdered on the orders of the usurper and false Emperor Rithian Thirion, who seized the throne."
